surface,file,line,path_expression,notes
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,216,"      .in(basePath / ""punters"" / punterId / ""detail"" / ""address"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,222,"      .in(basePath / ""punters"" / punterId / ""detail"" / ""personal-name"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,228,"      .in(basePath / ""punters"" / punterId / ""detail"" / ""phone-number"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,234,"      .in(basePath / ""punters"" / punterId / ""detail"" / ""ssn"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,240,"      .in(basePath / ""punters"" / punterId / ""detail"" / ""ssn"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,246,"      .in(basePath / ""punters"" / punterId / ""lifecycle"" / ""suspend"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,252,"      .in(basePath / ""punters"" / punterId / ""lifecycle"" / ""unsuspend"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,257,"      .in(basePath / ""punters"" / punterId / ""lifecycle"" / ""end-self-exclusion"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,261,"    adminEndpoint.post.in(""punter"" / punterId / ""reset-state"").out(statusCode(StatusCode.NoContent))","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,264,"    adminEndpoint.post.in(""punter"" / punterId / ""deactivate"").out(statusCode(StatusCode.NoContent))","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,267,"    adminEndpoint.post.in(""punter"" / punterId / ""unlock"").out(statusCode(StatusCode.NoContent))","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,270,"    adminEndpoint.post.in(basePath / ""punters"" / punterId / ""lifecycle"" / ""logout"").out(statusCode(StatusCode.Ok))","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,274,"      .in(basePath / ""punters"" / punterId / ""funds"" / ""credit"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,280,"      .in(basePath / ""punters"" / punterId / ""funds"" / ""debit"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,285,"    adminEndpoint.get.in(basePath / ""punters"" / punterId / ""financial-summary"").out(jsonBody[FinancialSummaryResponse])","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,289,"      .in(basePath / ""punters"" / punterId / ""bets"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,298,"      .in(basePath / ""punters"" / punterId / ""transactions"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,307,"      .in(basePath / ""punters"" / punterId / ""transactions"" / transactionId / ""confirm"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,312,"      .in(basePath / ""punters"" / punterId / ""transactions"" / transactionId / ""reject"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,318,"      .in(basePath / ""punters"" / punterId / ""transactions"" / ""export"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,325,"    adminEndpoint.post.in(basePath / ""punters"" / ""exclusions"" / ""ingest"").out(statusCode(StatusCode.Ok))","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,328,"    adminEndpoint.post.in(basePath / ""punters"" / ""exclusions"" / ""export"").out(statusCode(StatusCode.Ok))","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,331,"    adminEndpoint.post.in(basePath / ""reports"" / ""daily"").out(statusCode(StatusCode.Ok))","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,335,"      .in(basePath / ""reports"" / ""daily"" / ""repeat"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/payments/infrastructure/http/PaymentsTapirEndpoints.scala,41,"      .in(""payments"" / ""deposit"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/payments/infrastructure/http/PaymentsTapirEndpoints.scala,51,"      .in(""payments"" / ""withdrawal"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/payments/infrastructure/http/PaymentsTapirEndpoints.scala,61,"      .in(""payments"" / ""transactions"" / path[TransactionId])","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/payments/infrastructure/http/PaymentsTapirEndpoints.scala,68,"      .in(""payments"" / ""cash-withdrawal"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/payments/infrastructure/http/PaymentsTapirEndpoints.scala,77,"      .in(""payments"" / ""cheque-withdrawal"")","path-related .in(...) route expression"
ws,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/websockets/WebSocketRoutes.scala,35,"path(""web-socket"")","akka websocket route"
dev,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/dev/DevRoutes.scala,34,"pathPrefix(""docs"")","swagger/docs route root"
